track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time
190, Car,172.33,40.815238,37.979906,23.733342,57.2994,0.0501,-0.0954,13.0
191, Motorcycle,182.77,9.267444,37.979854,23.733219,26.5471,-0.0035,0.0811,13.0
192, Motorcycle,163.68,36.372958,37.982855,23.729177,32.9237,-0.7174,-1.2294,13.4
193, Car,461.88,11.189592,37.981613,23.733251,34.4502,-0.1537,0.0285,13.4
194, Car,475.09,46.73051,37.97987,23.73325,49.7329,-0.0388,0.1047,13.6
195, Motorcycle,473.49,58.77847,37.982865,23.729175,37.2679,0.2879,-0.8361,13.8
196, Motorcycle,470.94,69.482343,37.982835,23.729147,44.2766,-0.1133,-0.3136,14.0
197, Motorcycle,474.28,59.699836,37.979885,23.73327,65.168,1.8148,0.6757,14.2
198, Motorcycle,473.36,54.618513,37.982841,23.729123,38.2081,-0.0205,0.0918,14.4
199, Motorcycle,470.43,54.984769,37.982869,23.729191,40.7471,-0.1204,-0.0689,14.4
200, Motorcycle,361.9,24.768932,37.979862,23.73323,63.1054,0.0235,-0.1108,14.6
201, Motorcycle,472.4,61.174091,37.982845,23.729146,48.6219,-0.0971,0.1832,14.6
202, Car,475.86,45.561126,37.97989,23.73331,54.6459,-0.033,-0.0362,15.4
203, Car,472.87,52.218297,37.979882,23.733237,48.2386,-0.0136,-0.1626,15.4
204, Motorcycle,469.86,51.570063,37.982845,23.729168,39.6581,0.0512,0.3171,15.6
205, Motorcycle,26.27,27.818067,37.982855,23.729229,30.0455,0.1579,0.0483,15.8
206, Car,446.96,25.063262,37.979915,23.733337,46.5295,0.0024,0.0215,16.2
207, Motorcycle,473.25,59.989949,37.979882,23.733259,65.874,0.0008,-0.2324,16.2
208, Car,30.44,24.901774,37.982868,23.729201,33.5056,0.0705,0.1912,16.8
209, Car,525.81,19.883524,37.979884,23.733255,50.8621,0.3317,0.9197,17.0
210, Car,168.24,29.690188,37.982859,23.729158,26.4724,-0.0314,-0.0221,17.2
211, Car,474.37,52.384758,37.979886,23.733292,56.065,-3.93,8.2644,17.4
212, Car,172.31,35.650872,37.979907,23.733345,44.3979,0.8753,0.0226,17.6
213, Motorcycle,475.98,23.667748,37.979866,23.733252,49.3243,-0.0042,-0.2283,18.0
214, Car,459.93,22.135885,37.979875,23.733286,49.9134,3.6906,-1.0212,18.2
215, Car,165.94,22.97596,37.982853,23.729171,27.0176,0.069,-0.0773,18.6
216, Medium Vehicle,167.45,28.70574,37.982878,23.729192,30.3506,0.0394,-0.0404,18.6
217, Car,472.67,23.373657,37.979909,23.733299,49.7988,0.0777,0.7948,18.8
218, Car,473.77,23.363846,37.979876,23.733243,49.4008,0.0303,0.1823,19.0
219, Motorcycle,474.6,24.548533,37.979891,23.733274,52.4411,2.0082,-0.1276,19.8
220, Car,473.05,49.794784,37.982859,23.729157,27.3457,0.0536,-0.034,20.0
221, Motorcycle,203.69,21.694922,37.982497,23.728979,24.4357,-0.7871,-0.9362,20.2
222, Car,475.06,24.292858,37.979873,23.733244,50.1707,0.0304,0.0218,20.4
223, Motorcycle,472.33,55.933332,37.982859,23.729175,40.403,0.0538,0.2031,20.4
224, Medium Vehicle,144.11,5.700951,37.979827,23.731098,18.0341,0.2354,0.0176,20.4
225, Taxi,166.54,28.016041,37.982865,23.729194,30.452,0.0291,-0.0659,20.8
226, Car,179.27,33.967153,37.979904,23.733342,48.9457,0.0561,0.0989,21.0
227, Bus,475.0,37.336182,37.982841,23.729125,19.1952,-0.0825,0.057,21.6
228, Taxi,474.0,24.170031,37.979895,23.733274,55.283,0.0238,0.0433,22.2
229, Taxi,142.02,6.02925,37.979818,23.731099,15.4219,1.8827,0.9728,22.6
230, Car,179.38,36.278803,37.979908,23.733338,41.667,0.0106,0.0823,23.2
231, Taxi,475.26,45.262641,37.982856,23.72916,34.1064,-0.0231,0.1255,23.2
232, Car,472.75,42.547835,37.982873,23.729196,30.5931,0.0622,-0.0403,23.4
233, Car,474.87,22.672937,37.979868,23.733253,56.5765,0.0278,-0.1614,23.8
234, Car,477.07,22.479958,37.979873,23.73329,49.347,1.9736,-0.1849,24.2
235, Car,176.66,28.908082,37.979913,23.733338,40.4469,0.0467,-0.2711,24.4
236, Car,472.2,44.734498,37.982853,23.729166,34.789,0.0152,-0.155,24.6
237, Motorcycle,28.45,21.340103,37.982865,23.729212,27.2726,0.3812,-0.0263,24.8
238, Car,476.91,25.624989,37.979864,23.733253,57.0185,0.0198,0.0446,25.2
239, Car,474.37,44.013759,37.982855,23.729158,33.0187,0.0089,0.078,25.8
240, Car,164.54,29.036271,37.982873,23.7292,28.7577,0.1162,0.0491,26.2
241, Car,476.06,24.982715,37.979866,23.733248,57.5488,0.0043,0.0852,26.4
242, Motorcycle,382.09,40.220373,37.979883,23.733318,61.0191,2.4364,0.2394,26.4
243, Taxi,473.67,43.279611,37.982841,23.729137,37.7011,0.0078,-0.07,27.2
244, Motorcycle,377.29,20.032996,37.9799,23.733314,47.6848,-0.0351,-0.0512,27.4
245, Car,380.27,17.112245,37.979868,23.733291,45.8491,-0.0309,-0.0648,27.4
246, Motorcycle,273.94,14.41788,37.982879,23.729196,24.5444,0.0392,0.0742,27.4
247, Car,472.76,40.139655,37.982853,23.729166,32.8675,-0.0001,0.1155,27.4
248, Motorcycle,250.56,18.63684,37.981603,23.733243,31.3386,-0.2887,0.0166,27.6
249, Taxi,456.39,20.850471,37.979911,23.73334,37.1367,0.0278,0.091,27.8
250, Motorcycle,164.8,29.371181,37.98286,23.729174,35.5463,-0.2219,-0.1397,28.4
251, Car,474.8,23.287275,37.979886,23.733279,48.3234,0.0028,-0.0843,28.6
252, Car,31.11,19.307601,37.982874,23.729201,29.1354,0.3643,0.0039,28.8
253, Car,379.31,19.507556,37.979894,23.733314,49.933,-0.0145,0.0689,29.2
254, Car,365.69,32.748451,37.979854,23.733265,64.0626,-0.0071,0.0993,29.4
255, Motorcycle,476.13,26.699111,37.979891,23.733302,60.4884,-0.0907,0.6802,30.0
256, Motorcycle,476.74,19.818191,37.979903,23.73334,41.2543,0.0312,0.1124,30.0
257, Taxi,476.1,22.731442,37.979882,23.733276,47.1613,-0.0095,-0.1643,30.2
258, Motorcycle,363.21,34.409548,37.979856,23.733243,65.5833,-0.0094,-0.2099,30.2
259, Car,17.35,0.080863,37.981751,23.729524,12.8014,0.0606,0.0199,30.4
260, Car,476.3,19.663868,37.982876,23.729195,20.1358,0.172,0.0038,30.4
261, Taxi,177.23,34.302641,37.979901,23.733353,47.2083,-0.0003,-0.2719,31.0
262, Car,473.82,25.158497,37.979877,23.733252,57.0061,-0.0281,0.0655,31.2
263, Medium Vehicle,475.3,20.273301,37.982849,23.72916,35.2559,-0.0628,-0.0948,31.4
264, Motorcycle,380.07,21.114968,37.979882,23.733328,55.1736,3.9143,-1.7369,31.4
